metric,Rank,method
dit,1,original
dam,2,original
lcom3,2,original
avg_cc,3,original
amc,3,original
moa,4,original
ic,4,original
npm,4,original
noc,5,original
lcom,5,original
ca,6,original
dit,1,remove
dam,2,remove
lcom3,3,remove
amc,4,remove
avg_cc,4,remove
moa,4,remove
ic,5,remove
npm,6,remove
noc,6,remove
lcom,6,remove
ca,6,remove
amc,1,separating
dit,2,separating
avg_cc,3,separating
moa,3,separating
npm,4,separating
dam,4,separating
lcom3,4,separating
ic,4,separating
noc,5,separating
lcom,5,separating
ca,6,separating
