metric,Rank,method
ndpv,1,original
nr,2,original
cam,3,original
lcom,4,original
amc,4,original
lcom3,5,original
cbo,5,original
cbm,6,original
npm,6,original
mfa,6,original
ca,6,original
moa,7,original
noc,7,original
dam,8,original
avg.cc.,8,original
ndpv,1,remove
nr,2,remove
cam,3,remove
amc,4,remove
lcom,4,remove
lcom3,4,remove
cbo,5,remove
ca,5,remove
npm,5,remove
cbm,5,remove
moa,5,remove
noc,5,remove
mfa,5,remove
avg.cc.,6,remove
dam,6,remove
ndpv,1,separating
nr,2,separating
cam,3,separating
cbo,4,separating
npm,5,separating
avg.cc.,6,separating
amc,6,separating
lcom,6,separating
lcom3,7,separating
ca,7,separating
mfa,8,separating
moa,8,separating
cbm,8,separating
noc,8,separating
dam,8,separating
