metric,Rank,method
ndpv,1,original
amc,2,original
ndc,3,original
ce,3,original
lcom3,4,original
npm,5,original
cam,6,original
ca,6,original
mfa,7,original
lcom,7,original
avg.cc.,7,original
ic,8,original
dam,8,original
moa,9,original
noc,9,original
amc,1,remove
ndpv,1,remove
ndc,2,remove
ce,3,remove
npm,4,remove
lcom3,4,remove
cam,5,remove
ca,5,remove
mfa,5,remove
avg.cc.,6,remove
lcom,6,remove
ic,7,remove
dam,8,remove
moa,9,remove
noc,9,remove
ndpv,1,separating
amc,2,separating
ndc,3,separating
ce,4,separating
npm,4,separating
lcom3,4,separating
cam,5,separating
ca,5,separating
mfa,5,separating
avg.cc.,6,separating
lcom,7,separating
ic,8,separating
dam,8,separating
noc,9,separating
moa,10,separating
