metric,Rank,method
noc,1,original
avg_cc,1,original
lcom3,2,original
moa,2,original
lcom,2,original
ca,2,original
cbm,3,original
amc,4,original
cam,5,original
dit,5,original
noc,1,remove
lcom3,1,remove
lcom,2,remove
avg_cc,2,remove
ca,3,remove
cbm,4,remove
cam,5,remove
amc,5,remove
moa,5,remove
dit,6,remove
ca,1,separating
lcom,1,separating
moa,2,separating
lcom3,2,separating
amc,3,separating
dit,3,separating
noc,3,separating
avg_cc,4,separating
cbm,4,separating
cam,4,separating
