metric,Rank,method
lcom3,1,original
amc,1,original
cam,2,original
moa,3,original
avg_cc,3,original
ic,3,original
npm,3,original
dit,3,original
lcom,4,original
ca,4,original
noc,5,original
lcom3,1,remove
amc,2,remove
cam,3,remove
ic,4,remove
avg_cc,4,remove
dit,5,remove
moa,5,remove
npm,5,remove
lcom,6,remove
ca,7,remove
noc,7,remove
amc,1,separating
cam,2,separating
lcom3,2,separating
lcom,3,separating
moa,4,separating
npm,5,separating
ic,6,separating
avg_cc,6,separating
ca,6,separating
dit,7,separating
noc,7,separating
