metric,Rank,method
nr,1,original
amc,2,original
cbo,3,original
lcom,4,original
ndpv,5,original
npm,6,original
ca,7,original
cbm,8,original
avg.cc.,9,original
noc,10,original
lcom3,11,original
moa,11,original
cam,12,original
dam,12,original
mfa,12,original
nr,1,remove
amc,2,remove
cbo,3,remove
lcom,4,remove
ndpv,5,remove
npm,6,remove
ca,7,remove
avg.cc.,8,remove
cbm,8,remove
noc,9,remove
lcom3,9,remove
moa,9,remove
cam,10,remove
dam,10,remove
mfa,10,remove
nr,1,separating
amc,2,separating
cbo,3,separating
lcom,4,separating
ndpv,5,separating
npm,6,separating
ca,7,separating
cbm,8,separating
avg.cc.,8,separating
noc,9,separating
cam,10,separating
lcom3,10,separating
moa,10,separating
dam,10,separating
mfa,11,separating
