metric,Rank,method
nml,1,original
cam,2,original
amc,3,original
mfa,4,original
lcom3,5,original
max.cc.,5,original
ca,5,original
lcom,6,original
npm,6,original
ndpv,6,original
dam,7,original
ic,7,original
noc,8,original
moa,8,original
nml,1,remove
cam,2,remove
amc,3,remove
mfa,4,remove
lcom3,5,remove
npm,5,remove
max.cc.,5,remove
lcom,5,remove
ca,5,remove
ndpv,5,remove
ic,6,remove
dam,6,remove
moa,6,remove
noc,7,remove
nml,1,separating
cam,2,separating
amc,3,separating
mfa,4,separating
lcom,5,separating
ca,5,separating
lcom3,5,separating
npm,5,separating
max.cc.,5,separating
ndpv,5,separating
ic,6,separating
dam,6,separating
moa,7,separating
noc,8,separating
